day,time,src_node,dst_node
7,2.565600,13,18
7,2.730400,13,18
7,2.895200,13,18
7,2.977600,13,18
7,1.412000,13,21
7,1.494400,13,21
7,2.236000,13,21
7,2.318400,13,21
7,2.648000,13,21
7,2.812800,13,21
7,3.224800,13,21
7,1.164800,14,13
7,1.603833,14,13
7,4.798151,14,13
7,1.576800,18,13
7,13.947507,18,13
7,1.329600,21,13
7,1.824000,21,13
7,2.071200,21,13
7,2.565600,21,13
7,2.648000,21,13
7,2.812800,21,13
7,3.224800,21,13
7,3.389600,21,13
7,3.472000,21,13
7,3.636800,21,13
8,1.082400,1,13
8,1.247200,1,13
8,2.595912,1,13
8,1.164800,2,13
8,1.494400,2,13
8,1.659200,2,13
8,1.741600,2,13
8,1.824000,2,13
8,1.906400,2,13
8,1.988800,2,13
8,2.318400,2,13
8,2.400800,2,13
8,2.483200,2,13
8,2.565600,2,13
8,2.812800,2,13
8,2.895200,2,13
8,3.224800,2,13
8,3.472000,2,13
8,1.247200,4,13
8,3.554400,4,13
8,1.082400,6,13
8,6.198691,6,13
8,1.000000,13,2
8,22.270236,13,2
8,1.082400,13,4
8,1.906400,13,4
8,2.812800,13,4
8,1.164800,13,6
8,16.890362,13,6
8,1.247200,13,15
8,1.576800,13,15
8,2.565600,13,15
8,2.977600,13,15
8,1.329600,13,18
8,1.494400,13,18
8,1.659200,13,18
8,1.741600,13,18
8,1.824000,13,18
8,1.988800,13,18
8,2.071200,13,18
8,2.153600,13,18
8,2.236000,13,18
8,2.318400,13,18
8,2.400800,13,18
8,2.483200,13,18
8,2.648000,13,18
8,2.730400,13,18
8,1.412000,13,21
8,2.895200,13,21
8,1.164800,14,13
8,11.101367,14,13
8,1.412000,18,13
8,10.711629,18,13
8,1.329600,21,13
8,1.576800,21,13
8,2.071200,21,13
8,2.153600,21,13
8,2.236000,21,13
8,2.648000,21,13
8,2.730400,21,13
8,2.977600,21,13
8,3.060000,21,13
8,3.142400,21,13
8,3.307200,21,13
8,3.389600,21,13
9,1.082400,1,13
9,1.861180,1,13
9,7.818081,1,13
9,1.164800,2,13
9,1.412000,2,13
9,1.576800,2,13
9,1.906400,2,13
9,2.071200,2,13
9,2.236000,2,13
9,2.400800,2,13
9,2.483200,2,13
9,2.565600,2,13
9,2.648000,2,13
9,2.730400,2,13
9,2.895200,2,13
9,2.977600,2,13
9,3.142400,2,13
9,3.307200,2,13
9,3.472000,2,13
9,3.554400,2,13
9,3.719200,2,13
9,4.131200,2,13
9,1.247200,4,13
9,4.378400,4,13
9,1.082400,6,13
9,3.801600,6,13
9,4.296000,6,13
9,1.000000,13,4
9,2.153600,13,4
9,2.812800,13,4
9,1.082400,13,6
9,6.104616,13,6
9,1.164800,13,15
9,3.127700,13,15
9,1.247200,13,18
9,1.412000,13,18
9,1.494400,13,18
9,1.576800,13,18
9,1.659200,13,18
9,1.824000,13,18
9,1.988800,13,18
9,2.071200,13,18
9,2.400800,13,18
9,2.483200,13,18
9,2.565600,13,18
9,2.730400,13,18
9,1.329600,13,21
9,1.741600,13,21
9,1.906400,13,21
9,2.236000,13,21
9,2.318400,13,21
9,2.648000,13,21
9,2.895200,13,21
9,1.164800,14,13
9,1.454176,14,13
9,1.943580,14,13
9,2.222993,14,13
9,1.329600,21,13
9,1.494400,21,13
9,1.659200,21,13
9,1.741600,21,13
9,1.824000,21,13
9,1.988800,21,13
9,2.153600,21,13
9,2.318400,21,13
9,2.812800,21,13
9,3.060000,21,13
9,3.224800,21,13
9,3.389600,21,13
9,3.636800,21,13
9,3.884000,21,13
9,3.966400,21,13
9,4.048800,21,13
9,4.213600,21,13
10,1.082400,1,13
10,15.190237,1,13
10,1.085696,2,13
10,1.497696,2,13
10,1.662496,2,13
10,1.992096,2,13
10,2.156896,2,13
10,2.321696,2,13
10,2.404096,2,13
10,2.486496,2,13
10,2.568896,2,13
10,2.898496,2,13
10,1.168096,4,13
10,8.556394,4,13
10,1.000000,13,4
10,1.659200,13,4
10,2.236000,13,4
10,2.648000,13,4
10,1.082400,13,15
10,1.988800,13,15
10,2.730400,13,15
