day,time,src_node,dst_node
20,2.175847,19,1
20,4.124391,19,1
20,1.034333,20,1
20,1.041199,20,1
20,1.556312,20,1
20,5.918418,20,1
20,1.013733,21,1
20,1.051499,21,1
20,1.078966,21,1
20,1.521470,21,1
20,2.089588,21,1
21,1.024033,0,1
21,1.030899,0,1
21,1.098940,0,1
21,1.329094,0,1
21,1.546487,0,1
21,2.151396,0,1
21,1.000000,1,0
21,1.200960,1,0
21,1.205020,1,0
21,1.346911,1,0
21,1.388088,1,0
21,1.431547,1,0
21,1.462137,1,0
21,1.643993,1,0
21,1.676238,1,0
21,1.877595,1,0
21,1.903662,1,0
21,1.942036,1,0
21,2.097505,1,0
21,1.003433,1,2
21,1.583816,1,2
21,3.581322,1,2
21,1.006866,1,3
21,1.472910,1,3
21,2.767524,1,3
21,1.034333,1,4
21,1.500376,1,4
21,1.650860,1,4
21,2.010509,1,4
21,1.037766,1,5
21,1.082399,1,5
21,1.294286,1,5
21,1.775803,1,5
21,2.916318,1,5
21,1.010299,1,6
21,1.335900,1,6
21,1.606124,1,6
21,1.770731,1,6
21,2.079683,1,6
21,1.041199,1,7
21,6.014696,1,7
21,1.044633,1,9
21,4.440112,1,9
21,1.048066,1,10
21,11.607869,1,10
21,1.000000,1,11
21,1.091868,1,11
21,3.755958,1,11
21,1.003433,1,14
21,1.098940,1,14
21,2.728429,1,14
21,1.051499,1,15
21,1.098309,1,15
21,1.268737,1,15
21,1.446595,1,15
21,1.476343,1,15
21,1.479776,1,15
21,1.513916,1,15
21,1.570775,1,15
21,1.736830,1,15
21,1.756786,1,15
21,1.818756,1,15
21,1.907774,1,15
21,1.934421,1,15
21,1.957059,1,15
21,2.029455,1,15
21,1.058366,1,16
21,2.788499,1,16
21,1.013733,1,17
21,2.658814,1,17
21,1.017166,1,18
21,1.151814,1,18
21,1.223725,1,18
21,1.274908,1,18
21,1.283147,1,18
21,1.420357,1,18
21,1.486643,1,18
21,1.490076,1,18
21,1.536446,1,18
21,1.685041,1,18
21,1.710309,1,18
21,1.732450,1,18
21,1.802400,1,18
21,1.885753,1,18
21,2.458453,1,18
21,1.061799,1,19
21,8.676865,1,19
21,1.020599,1,20
21,7.452970,1,20
21,1.024033,1,21
21,1.094876,1,21
21,2.053238,1,21
21,1.010299,2,1
21,1.081746,2,1
21,1.530646,2,1
21,1.578113,2,1
21,2.503697,2,1
21,1.017166,3,1
21,1.648470,3,1
21,1.871545,3,1
21,2.305866,3,1
21,1.041199,4,1
21,1.134866,4,1
21,1.145332,4,1
21,1.461496,4,1
21,1.484801,4,1
21,1.874978,4,1
21,1.949926,4,1
21,2.005239,4,1
21,1.044633,5,1
21,1.590635,5,1
21,4.269819,5,1
21,1.003433,6,1
21,2.277551,6,1
21,1.068666,7,1
21,5.898812,7,1
21,1.058366,9,1
21,9.959894,9,1
21,1.051499,12,1
21,1.240416,12,1
21,2.015026,12,1
21,1.003433,14,1
21,1.047438,14,1
21,1.086607,14,1
21,1.128184,14,1
21,1.320263,14,1
21,1.386105,14,1
21,1.710309,14,1
21,2.050443,14,1
21,1.048066,15,1
21,1.121471,15,1
21,1.138466,15,1
21,1.217881,15,1
21,1.325661,15,1
21,1.448264,15,1
21,1.467722,15,1
21,1.617325,15,1
21,1.752857,15,1
21,1.895752,15,1
21,1.946041,15,1
21,1.986114,15,1
21,2.179334,15,1
21,1.061799,16,1
21,4.050514,16,1
21,1.020599,18,1
21,1.673266,18,1
21,1.868112,18,1
21,2.390511,18,1
21,1.072099,19,1
21,1.141899,19,1
21,1.678014,19,1
21,1.695181,19,1
21,7.574260,19,1
21,1.027466,20,1
21,1.075533,20,1
21,3.656001,20,1
21,1.013733,21,1
21,1.495363,21,1
21,2.041234,21,1
22,1.024033,0,1
22,1.037766,0,1
22,1.051499,0,1
22,1.109928,0,1
22,1.663565,0,1
22,2.259354,0,1
22,1.000000,1,0
22,1.186136,1,0
22,1.221594,1,0
22,1.242505,1,0
22,1.249372,1,0
22,1.273728,1,0
22,1.297410,1,0
22,1.327492,1,0
22,1.464078,1,0
22,1.469838,1,0
22,1.723544,1,0
22,1.745716,1,0
22,1.927950,1,0
22,1.951874,1,0
22,2.056249,1,0
22,1.003433,1,2
22,1.551658,1,2
22,2.537758,1,2
22,1.006866,1,3
22,21.698941,1,3
22,1.041199,1,4
22,1.664801,1,4
22,2.203160,1,4
22,1.044633,1,5
22,1.178328,1,5
22,2.397408,1,5
22,1.010299,1,6
22,1.364671,1,6
22,1.719818,1,6
22,2.172578,1,6
22,1.048066,1,7
22,1.643327,1,7
22,32.744424,1,7
22,1.051499,1,8
22,4.526959,1,8
22,1.054933,1,9
22,1.716385,1,9
